animal	sex	weeks	nfl
108724.1	M	12	50.5
108724.1	M	14	95.3
108724.1	M	16	42.9
108724.1	M	20	153
108724.1	M	22	125
108724.2	M	12	72.2
108724.2	M	14	83.2
108724.2	M	16	106
108724.2	M	18	42.4
108724.2	M	20	63.2
108724.2	M	22	61.9
108724.3	M	12	58.5
108724.3	M	14	89.9
108724.3	M	16	70.3
108724.3	M	18	50.6
108724.3	M	20	84.4
108724.3	M	22	87.4
108725.1	M	12	60.2
108725.1	M	14	85.5
108725.1	M	16	86.7
108725.1	M	18	49
108725.1	M	20	88
108725.1	M	22	54.7
108725.2	M	12	110
108725.2	M	16	28.2
108725.2	M	18	62.9
108725.2	M	20	250
108725.2	M	22	91.3
108725.3	M	12	48.4
108725.3	M	14	80.8
108725.3	M	16	49.7
108725.3	M	18	45.1
108725.3	M	20	142
108725.3	M	22	77.1
108726.1	F	11	99.6
108726.1	F	13	112
108726.1	F	15	118
108726.1	F	17	175
108726.1	F	19	117
108726.1	F	21	79.5
108726.2	F	13	77.9
108726.2	F	15	110
108726.2	F	17	136
108726.2	F	19	97.9
108726.2	F	21	201
108726.3	F	11	103
108726.3	F	13	77.9
108726.3	F	15	81.6
108726.3	F	17	83.1
108726.3	F	19	248
108726.3	F	21	103
108727.1	F	11	63.7
108727.1	F	13	71.2
108727.1	F	15	70.2
108727.1	F	17	97.9
108727.1	F	19	92.8
108727.1	F	21	124
108727.2	F	13	49.2
108727.2	F	15	95
108727.2	F	17	75.7
108727.2	F	19	155
108727.2	F	21	119
108727.3	F	13	68.4
108727.3	F	15	80.9
108727.3	F	17	82.5
108727.3	F	19	86.1
108727.3	F	21	65
108728.1	F	12	158
108728.1	F	14	93
108728.1	F	16	69.3
108728.1	F	18	60.2
108728.1	F	20	78.9
108728.1	F	22	55.2
108728.2	F	12	47.1
108728.2	F	14	70.3
108728.2	F	16	313
108728.2	F	18	81.4
108728.3	F	12	123
108728.3	F	14	61.6
108728.3	F	16	152
108728.3	F	18	69.7
108728.3	F	20	150
108728.3	F	22	65.8
108729.1	F	12	97.9
108729.1	F	14	77.8
108729.1	F	16	85.6
108729.1	F	18	66.9
108729.1	F	20	63.9
108729.1	F	22	41.1
108729.2	F	12	113
108729.2	F	14	128
108729.2	F	16	56.3
108729.2	F	18	49.8
108729.2	F	20	148
108729.2	F	22	64.1
108729.3	F	12	45.3
108729.3	F	14	71.2
108729.3	F	16	60.1
108729.3	F	18	69.3
108729.3	F	20	68.7
108729.3	F	22	44.3
108911.1	F	6	93
108911.1	F	8	68.5
108911.1	F	10	91.5
108911.1	F	12	73.7
108911.1	F	14	113
108911.1	F	16	99.9
108911.2	F	8	42
108911.2	F	10	58
108911.2	F	12	53.8
108911.2	F	14	78.5
108911.2	F	16	96.5
108911.3	F	6	67.6
108911.3	F	8	46.1
108911.3	F	10	104
108911.3	F	12	40.9
108911.3	F	14	110
108911.3	F	16	58.3
108912.1	F	6	50.2
108912.1	F	8	59
108912.1	F	10	92.5
108912.1	F	12	66.7
108912.1	F	14	95.5
108912.1	F	16	80.5
108912.2	F	6	65.6
108912.2	F	8	117
108912.2	F	10	138
108912.2	F	12	70.2
108912.2	F	14	76.3
108912.2	F	16	83.7
108912.3	F	6	109
108912.3	F	8	71.1
108912.3	F	10	85.8
108912.3	F	12	116
108912.3	F	14	98.9
108912.3	F	16	84.3
108913.1	F	7	32
108913.1	F	9	87.8
108913.1	F	11	90.1
108913.1	F	13	88.7
108913.1	F	15	190
108913.1	F	17	79.5
108913.2	F	7	32.3
108913.2	F	9	47.3
108913.2	F	11	46.5
108913.2	F	13	29.6
108913.2	F	15	111
108913.2	F	17	60.4
108913.3	F	7	49.8
108913.3	F	9	39.5
108913.3	F	11	27.8
108913.3	F	13	72.7
108913.3	F	15	85.2
108913.3	F	17	110
108914.1	F	7	66.3
108914.1	F	9	65.6
108914.1	F	11	43.6
108914.1	F	13	62.1
108914.1	F	15	85.5
108914.1	F	17	87.1
108914.2	F	7	61.7
108914.2	F	9	35.8
108914.2	F	11	77.3
108914.2	F	13	77.7
108914.2	F	15	118
108914.2	F	17	58.7
108914.3	F	7	68.2
108914.3	F	9	98.5
108914.3	F	11	84.2
108914.3	F	13	90
108914.3	F	15	127
108914.3	F	17	74.9
