animal	sex	tx	bleed_day	weight_day	weight_g	delta
116327.5	F	mino	5	3	20.6	-0.05504587155963303
116327.5	F	mino	5	4	21	-0.03669724770642202
116327.5	F	mino	5	5	20.9	-0.04128440366972485
116328.1	F	mino	5	1	22.9	0
116328.1	F	mino	5	2	21.7	-0.05240174672489084
116328.1	F	mino	5	3	21.8	-0.04803493449781648
116328.1	F	mino	5	4	21.9	-0.04366812227074235
116328.1	F	mino	5	5	22.5	-0.01746724890829687
116328.2	F	mino	5	1	20.6	0
116328.2	F	mino	5	2	20.1	-0.02427184466019416
116328.2	F	mino	5	3	20.1	-0.02427184466019416
116328.2	F	mino	5	4	20.3	-0.01456310679611649
116328.2	F	mino	5	5	20.6	0
116328.3	F	mino	5	1	22.1	0
116328.3	F	mino	5	2	21.3	-0.03619909502262442
116328.3	F	mino	5	3	20.7	-0.06334841628959287
116328.3	F	mino	5	4	21	-0.04977375565610864
116328.3	F	mino	5	5	20.8	-0.05882352941176472
116328.4	F	mino	5	1	21.6	0
116328.4	F	mino	5	2	20.7	-0.04166666666666674
116328.4	F	mino	5	3	21.1	-0.02314814814814814
116328.4	F	mino	5	4	21.6	0
116328.4	F	mino	5	5	20.5	-0.05092592592592604
116328.5	F	mino	5	1	20.7	0
116328.5	F	mino	5	2	19.6	-0.05314009661835739
116328.5	F	mino	5	3	19.4	-0.06280193236714982
116328.5	F	mino	5	4	20.2	-0.02415458937198067
116328.5	F	mino	5	5	21.2	0.02415458937198078
116329.1	F	mino	5	1	21.6	0
116329.1	F	mino	5	2	20.6	-0.04629629629629628
116329.1	F	mino	5	3	21	-0.02777777777777779
116329.1	F	mino	5	4	20.4	-0.05555555555555569
116329.1	F	mino	5	5	21.2	-0.0185185185185186
116329.2	F	mino	5	1	21.6	0
116329.2	F	mino	5	2	20.7	-0.04166666666666674
116329.2	F	mino	5	3	20.8	-0.03703703703703709
116329.2	F	mino	5	4	21.1	-0.02314814814814814
116329.2	F	mino	5	5	21.1	-0.02314814814814814
