animal	day	weight_g	delta
31	2	24.9	-0.10108303249097476
31	3	25.6	-0.07581227436823097
31	4	25.9	-0.06498194945848378
31	5	26.4	-0.046931407942238296
31	6	26.3	-0.05054151624548731
31	7	25.9	-0.06498194945848378
31	8	25.1	-0.09386281588447647
31	9	24.8	-0.10469314079422377
31	10	24.2	-0.1263537906137184
32	1	22.9	0
32	2	21.2	-0.07423580786026199
32	3	21.5	-0.06113537117903924
32	4	21.7	-0.0524017467248908
32	5	21.4	-0.06550218340611354
32	6	22	-0.03930131004366806
32	7	21.4	-0.06550218340611354
32	8	21.2	-0.07423580786026199
32	9	21.5	-0.06113537117903924
32	10	22.1	-0.03493449781659377
32	11	20.6	-0.10043668122270731
32	12	19.8	-0.13537117903930124
32	13	19.7	-0.1397379912663755
32	14	19.4	-0.15283842794759828
