gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Stk10	2.7321071432101984	-0.33471799483621373	0.8031479221569742	-0.41675759296902415	0.6768557236239137	1
Stk17b	3.770654275768974	-0.09992695812318322	0.6694433649658411	-0.1492687258589561	0.8813415919198605	1
Stk3	11.09133841546634	0.29967311317816236	0.34910921833143954	0.8583935841351997	0.3906751691311885	1
Stk35	15.688444267678127	-0.07429606995456262	0.3001769271771111	-0.2475075971136392	0.804515412725699	1
Stk36	1.4576333938152388	-0.7035306706967616	1.2182347114314445	-0.5775001024803359	0.5636016694177741	1
Stk38	14.245342556214077	-0.6183036398849374	0.3526138457524329	-1.7534865613843282	0.07951852427150516	1
Stk38l	12.812309306788247	0.2500180137425578	0.32515515950127805	0.7689191035013395	0.4419413359212745	1
Stk4	11.8177166580067	-0.14138277020616563	0.35036170511377446	-0.4035337428223036	0.6865556168797016	1
Stk40	18.01289385903366	-0.23144864114139435	0.2908327854899379	-0.7958134456935286	0.4261404754314419	1
Stn1	9.629480750648854	0.12136562475364124	0.3826522243630004	0.3171695263386437	0.7511149715448975	1
Stom	10.774432936657965	-0.11527794041528731	0.3763331449904679	-0.30631886122655283	0.7593618798234866	1
Ston1	2.3926986910088743	0.22032571856805327	0.8530339717410093	0.2582848114693217	0.7961871073780965	1
Ston2	6.726337355851382	-0.35898497738846263	0.5061400215084981	-0.7092602089013726	0.47816301631886926	1
Stox1	1.2678887089921336	0.1760483985503467	1.2253298919740512	0.1436742869846473	0.8857576765195819	1
Stox2	19.23661542839507	-0.07945771339418363	0.2782762968806658	-0.2855353268850554	0.7752340434241204	1
Stra6	5.9860181712910645	-0.2503257508499888	0.5501777940514777	-0.4549906476715542	0.6491159671433405	1
Strada	14.947173962036002	0.1316985246435687	0.30353728259365037	0.4338792372331915	0.6643761378049349	1
Strip2	9.615359326330532	0.25289850825437893	0.40029625970180394	0.6317783444760956	0.5275317261289536	1
Strit1	2.31774469109663	-0.6166960134730177	1.994771139916484	-0.3091562741873422	0.7572026537760715	1
Strn	14.95180752615262	0.3376211988381467	0.3158353165804739	1.068978613581112	0.2850793062706709	1
Stt3a	16.936207421207023	0.8307114950024063	0.3533114350487588	2.351215988488354	0.01871216849878417	1
Stx17	16.343628979400286	0.2243390433805574	0.28649347989462964	0.7830511307380111	0.43359708705946826	1
Stx2	9.220035297627998	-0.9283936691962928	0.4574415057371679	-2.029535268558948	0.04240380050333111	1
Stx3	15.76742872560757	-0.1016972628641034	0.31007226356088796	-0.3279792319900081	0.7429273653423613	1
Stxbp3	18.25317454917941	0.5313860788846614	0.29980466841319714	1.77244097530961	0.07632138507803295	1
Stxbp4	4.634145465241418	0.1429227614819852	0.5739010625564956	0.2490372832650326	0.8033319418534404	1
Stxbp5l	13.005098038603672	0.6264318787960242	0.3189171964281133	1.9642461611104356	0.04950155195058764	1
