animal	day	weight	delta
116324.4	1	21.6	0
116324.4	2	21.4	-0.009259259259259411
116324.4	3	21.6	0
116324.4	4	21.4	-0.009259259259259411
116324.4	5	21.6	0
116324.5	1	22.1	0
116324.5	2	22.4	0.013574660633484115
116324.5	3	21.3	-0.03619909502262442
116324.5	4	21	-0.04977375565610864
116324.5	5	20.8	-0.05882352941176472
116325.1	1	19.9	0
116325.1	2	20.1	0.01005025125628145
116325.1	3	19.9	0
116325.1	4	19.9	0
116325.1	5	20.2	0.015075376884422065
116325.2	1	21.1	0
116325.2	2	21.6	0.023696682464454888
116325.2	3	22	0.04265402843601884
116325.2	4	22.2	0.05213270142180093
116325.2	5	22	0.04265402843601884
116325.3	1	21.1	0
116325.3	2	21.3	0.009478672985781866
116325.3	3	21.5	0.018957345971563955
116325.3	4	21.4	0.0142180094786728
116325.3	5	21.7	0.02843601895734582
116325.4	1	22.3	0
116325.4	2	22.7	0.017937219730941534
116325.4	3	22.9	0.02690582959641241
116325.4	4	23	0.03139013452914785
116325.4	5	23.3	0.04484304932735417
116325.5	1	21	0
116325.5	2	21.2	0.00952380952380949
116325.5	3	21.2	0.00952380952380949
116325.5	4	21.5	0.023809523809523725
116325.5	5	21.3	0.014285714285714235
116326.1	1	21.1	0
116326.1	2	20.2	-0.042654028436019065
116326.1	3	20.3	-0.03791469194312802
116326.1	4	20.7	-0.018957345971564066
116326.1	5	21.2	0.004739336492890933
116326.2	1	20	0
116326.2	2	18.9	-0.05500000000000005
116326.2	3	18.9	-0.05500000000000005
116326.2	4	19.4	-0.030000000000000027
116326.2	5	19.9	-0.0050000000000001155
116326.3	1	22	0
116326.3	2	21	-0.045454545454545414
116326.3	3	20.8	-0.054545454545454564
116326.3	4	21.2	-0.036363636363636376
116326.3	5	22.2	0.009090909090909038
116326.4	1	20	0
116326.4	2	20	0
116326.4	3	19.6	-0.019999999999999907
116326.4	4	19.9	-0.0050000000000001155
116326.4	5	20.4	0.020000000000000018
116326.5	1	21.4	0
116326.5	2	20.2	-0.05607476635514019
116326.5	3	20.7	-0.032710280373831724
116326.5	4	21	-0.01869158878504662
116326.5	5	21.4	0
116327.1	1	20.3	0
116327.1	2	20.4	0.004926108374384119
116327.1	3	18.7	-0.0788177339901478
116327.1	4	18.4	-0.0935960591133006
116327.1	5	18.6	-0.08374384236453203
116327.2	1	23	0
116327.2	2	21.3	-0.07391304347826089
116327.2	3	21.3	-0.07391304347826089
116327.2	4	21.9	-0.047826086956521796
116327.2	5	21.9	-0.047826086956521796
116327.3	1	20.3	0
116327.3	2	20.6	0.014778325123152802
116327.3	3	20.8	0.024630541871921263
116327.3	4	20.2	-0.0049261083743843415
116327.3	5	20.4	0.004926108374384119
116327.4	1	20	0
116327.4	2	20.3	0.015000000000000124
116327.4	3	20.6	0.030000000000000027
116327.4	4	20.2	0.010000000000000009
116327.4	5	20	0
116327.5	1	21.8	0
116327.5	2	20.7	-0.050458715596330306
116327.5	3	20.6	-0.05504587155963303
116327.5	4	21	-0.03669724770642202
116327.5	5	20.9	-0.041284403669724856
